participant_id,video_id,recording_elegible,cam_allowed,azure_features,video_error,duration_recording,survey_duration,pre_quiz1,pre_quiz2,post_quiz1,post_quiz2,post_quiz3,post_quiz4,post_quiz5,post_quiz6,post_quiz7,post_quiz8,self_interest,self_boring,self_confusion,self_easy,demo_age,demo_gender,demo_race,demo_ethnicity,demo_marital_status,demo_education,demo_income,demo_employment,demo_industry,demo_country,demo_region,correct,correct_pre_quiz,correct_post_quiz,self_raw_anger,self_raw_contempt,self_raw_disgust,self_raw_fear,self_raw_happiness,self_raw_neutral,self_raw_sadness,self_raw_surprise,reported_emotions
6550562,18377,0,0.0,0.0,0,,594,a,c,b,b,b,a,a,a,d,b,4,6,3,5,a,b,c,b,a,e,h,e,G,CN,f,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2811222,18377,0,0.0,0.0,0,,692,a,c,b,a,b,a,b,a,d,b,6,2,2,6,a,a,c,b,a,e,a,c,n,US,a,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7806562,18377,0,0.0,0.0,0,,640,a,c,b,b,b,b,b,a,c,b,7,1,1,7,a,a,c,b,a,d,a,c,r,US,a,7,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8044482,18377,0,0.0,0.0,0,,633,a,a,a,b,b,a,d,a,c,a,4,4,6,3,a,b,c,b,a,e,a,e,a,US,b,4,1,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
8468079,20965,1,0.0,0.0,0,,767,a,c,b,b,b,a,d,d,b,a,2,6,4,4,b,b,c,b,a,d,g,a,a,TW,f,5,2,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
272159,20965,1,1.0,0.0,1,,1133,a,a,c,c,b,a,b,b,d,b,6,2,3,5,b,b,c,b,a,d,a,a,u,TW,f,6,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1994999,20965,1,1.0,0.0,1,,624,a,a,b,d,b,a,d,a,c,b,2,7,6,2,a,a,c,b,a,e,d,a,g,US,e,7,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
8963619,20965,1,1.0,0.0,0,239.344,510,b,d,c,d,a,c,b,c,b,a,1,7,7,1,a,b,c,b,a,d,a,a,k,NG,f,2,0,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
146359,20965,1,1.0,0.0,0,171.539,520,a,a,a,d,b,b,a,b,b,b,4,5,5,3,a,a,c,c,a,e,b,a,F,GN,f,4,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7136879,20965,1,1.0,1.0,0,270.169,422,a,a,b,d,b,a,b,a,c,b,4,7,7,1,b,b,c,b,a,e,c,e,j,US,b,8,1,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
