,participant_id,video_id,recording_elegible,cam_allowed,survey_duration,demo_gender,demo_race,correct_pre_quiz,correct_post_quiz,pre_quiz_all_correct,well_recorded
107,2268427,12588,1,1.0,403,a,c,1,0,0,1
108,7188007,12588,1,1.0,808,a,c,1,4,0,1
109,9532547,12588,1,0.0,837,a,b,1,5,0,0
110,1118867,12588,1,1.0,1161,d,g,0,5,0,1
111,4609667,12588,1,1.0,710,b,a,2,4,1,0
112,9038987,12588,1,1.0,521,b,c,2,5,1,1
113,2957674,29206,0,0.0,596,a,c,2,5,1,0
114,8948294,29206,0,0.0,143,b,c,1,4,0,0
115,8131934,29206,0,0.0,872,b,c,2,6,1,0
116,8569654,29206,0,0.0,1037,b,c,2,6,1,0
117,8669814,29206,0,0.0,558,d,g,1,5,0,0
118,6067114,29206,0,0.0,427,b,c,0,4,0,0
119,305194,29206,0,0.0,501,a,g,1,3,0,0
120,9700914,29206,0,0.0,709,b,c,2,0,1,0
121,7546434,29206,0,0.0,491,a,c,0,2,0,0
122,7727814,29206,0,0.0,631,a,c,0,6,0,0
123,1615234,29206,0,0.0,788,b,c,0,4,0,0
124,6346054,29206,0,0.0,374,a,c,0,4,0,0
125,9248554,29206,0,0.0,587,a,c,2,8,1,0
126,1071854,29206,0,0.0,721,a,c,2,6,1,0
127,9646754,29206,0,0.0,795,b,c,2,5,1,0
128,247074,29206,0,0.0,891,b,c,2,6,1,0
129,5360361,16402,1,1.0,769,b,c,0,5,0,1
130,4238261,16402,1,1.0,797,b,c,2,5,1,1
131,2277381,16402,1,1.0,930,b,c,0,1,0,0
132,3692861,16402,1,1.0,787,a,c,2,6,1,1
133,7363641,16402,1,1.0,830,a,c,2,7,1,1
134,8291761,16402,1,1.0,920,b,g,0,2,0,1
135,1419401,16402,1,1.0,666,a,c,2,6,1,1
136,7726721,16402,1,1.0,768,b,c,2,8,1,1
137,121841,16402,1,1.0,421,a,c,1,4,0,0
138,5150781,16402,1,1.0,558,a,c,0,6,0,1
139,5459201,16402,1,1.0,643,b,c,2,4,1,0
140,984441,16402,1,1.0,1571,a,a,2,2,1,1
141,8431393,10749,1,1.0,669,b,c,1,7,0,1
142,4719073,10749,1,1.0,833,b,a,1,7,0,1
143,2943213,10749,1,1.0,559,a,c,0,2,0,1
144,9587853,10749,1,1.0,1544,b,c,1,6,0,1
145,5301073,10749,1,1.0,588,a,c,1,6,0,0
146,7489313,10749,1,1.0,1070,b,c,2,4,1,1
147,6289173,10749,1,1.0,772,a,g,2,7,1,1
148,2101213,10749,1,1.0,844,a,c,2,6,1,0
149,8361693,10749,1,1.0,671,b,a,2,5,1,1
150,6493293,10749,1,1.0,831,b,c,1,5,0,1
151,2753073,10749,1,1.0,1333,a,c,0,3,0,1
152,515293,10749,1,1.0,1231,a,c,0,1,0,1
153,3425653,10749,1,1.0,1372,a,a,1,7,0,1
154,3922653,10749,1,0.0,674,b,c,0,5,0,0
155,5747873,10749,1,1.0,617,a,c,2,5,1,1
156,8269033,10749,1,1.0,795,b,c,1,3,0,0
157,8538795,28593,1,1.0,911,a,c,2,8,1,1
158,8560015,28593,1,0.0,711,a,c,1,8,0,0
159,5719515,28593,1,1.0,624,c,b,0,1,0,1
160,1631275,28593,1,1.0,730,a,c,2,6,1,1
161,4003795,28593,1,1.0,844,a,c,1,5,0,0
162,2049275,28593,1,1.0,783,b,c,2,7,1,1
163,4187075,28593,1,0.0,520,d,g,0,2,0,0
164,9077435,28593,1,1.0,1209,b,c,1,3,0,1
165,4798675,28593,1,1.0,885,a,c,2,7,1,1
166,5708275,28593,1,0.0,2435,d,c,1,6,0,0
167,5799935,28593,1,1.0,1048,a,a,0,5,0,0
168,4206435,28593,1,1.0,749,b,c,2,7,1,1
169,3227215,28593,1,0.0,942,a,a,2,6,1,0
170,7959268,11975,0,0.0,676,b,c,0,5,0,0
171,5120548,11975,0,0.0,750,a,c,0,4,0,0
172,6960428,11975,0,0.0,1378,a,c,2,6,1,0
173,6769688,11975,0,0.0,1010,a,c,1,6,0,0
174,4696008,11975,0,0.0,785,b,c,2,6,1,0
175,4791728,11975,0,0.0,674,b,a,1,6,0,0
176,304928,11975,0,0.0,2190,b,c,2,8,1,0
177,5294108,11975,0,0.0,756,a,c,0,3,0,0
178,9346248,11975,0,0.0,942,a,c,0,3,0,0
179,6619628,11975,0,0.0,577,b,c,1,5,0,0
180,9269708,11975,0,0.0,500,b,g,0,3,0,0
181,2347528,11975,0,0.0,721,b,g,1,4,0,0
182,3608148,11975,0,0.0,713,b,c,1,8,0,0
183,6454588,11975,0,0.0,606,b,c,1,4,0,0
184,7073128,11975,0,0.0,880,a,f,1,4,0,0
185,7863789,17764,1,1.0,2319,b,c,0,0,0,1
186,6220309,17764,1,1.0,617,a,c,2,7,1,1
187,2966909,17764,1,1.0,604,b,c,2,7,1,1
188,571509,17764,1,1.0,853,a,c,2,3,1,1
189,5302349,17764,1,1.0,1166,a,c,0,4,0,1
190,5235789,17764,1,1.0,1177,a,c,0,2,0,1
191,2810889,17764,1,1.0,720,b,c,2,6,1,1
192,1327209,17764,1,1.0,719,a,c,1,6,0,0
193,9279529,17764,1,1.0,648,a,c,1,3,0,0
194,383889,17764,1,1.0,736,a,c,2,6,1,1
195,2132889,17764,1,1.0,1002,a,g,1,6,0,1
196,8007109,17764,1,1.0,792,b,c,1,6,0,1
197,4370529,17764,1,1.0,653,c,a,2,7,1,1
198,3860229,17764,1,1.0,963,a,c,0,4,0,0
199,1387785,15789,1,1.0,877,b,c,2,8,1,1
200,2944205,15789,1,1.0,766,a,c,1,6,0,1
201,9141705,15789,1,1.0,1547,b,c,2,6,1,0
202,100905,15789,1,1.0,602,a,c,2,5,1,1
203,8984405,15789,1,0.0,789,a,c,2,5,1,0
204,3080845,15789,1,1.0,667,b,a,1,5,0,1
205,700725,15789,1,0.0,689,b,c,1,3,0,0
206,2652545,15789,1,1.0,1091,a,c,0,2,0,1
207,3207905,15789,1,1.0,1029,b,a,1,5,0,0
208,6213625,15789,1,1.0,1083,a,c,0,2,0,1
209,9200885,15789,1,0.0,842,a,c,2,4,1,0
210,2047005,15789,1,1.0,690,a,c,1,6,0,1
211,838285,15789,1,1.0,874,a,a,2,4,1,1
212,9020226,25392,0,0.0,616,b,f,0,4,0,0
213,826166,25392,0,0.0,968,b,c,2,6,1,0
214,5973146,25392,0,0.0,537,a,c,2,7,1,0
215,8247746,25392,0,0.0,3925,a,c,2,7,1,0
216,2985566,25392,0,0.0,1172,a,c,2,7,1,0
217,7331046,25392,0,0.0,880,a,c,2,4,1,0
218,7636606,25392,0,0.0,2431,a,c,0,5,0,0
219,892206,25392,0,0.0,530,a,c,2,4,1,0
220,1870006,25392,0,0.0,434,d,g,1,3,0,0
221,3849326,25392,0,0.0,670,d,g,0,1,0,0
222,7913406,25392,0,0.0,706,a,c,1,2,0,0
223,1561906,25392,0,0.0,834,a,c,1,6,0,0
224,5278566,25392,0,0.0,543,b,c,2,7,1,0
225,1094366,25392,0,0.0,649,a,c,1,5,0,0
226,3672386,25392,0,0.0,516,b,g,1,1,0,0
227,8511072,26005,0,0.0,495,b,c,0,1,0,0
228,4877212,26005,0,0.0,1162,b,c,1,3,0,0
229,1331712,26005,0,0.0,521,b,c,2,7,1,0
230,9191052,26005,0,0.0,737,b,c,2,5,1,0
231,9131312,26005,0,0.0,1419,b,a,2,6,1,0
232,5830112,26005,0,0.0,576,a,c,1,6,0,0
233,8125572,26005,0,0.0,946,b,g,0,5,0,0
234,4277032,26005,0,0.0,636,a,c,2,6,1,0
235,1147152,26005,0,0.0,715,a,c,2,6,1,0
236,9143872,26005,0,0.0,754,b,c,1,4,0,0
237,4545932,26005,0,0.0,348,c,g,2,2,1,0
238,4380752,26005,0,0.0,955,a,a,1,7,0,0
239,6625332,26005,0,0.0,1307,b,c,2,5,1,0
240,7504977,14563,1,1.0,667,a,c,1,4,0,1
241,9133677,14563,1,1.0,594,a,c,2,5,1,1
242,3498817,14563,1,1.0,530,a,c,2,2,1,1
243,693517,14563,1,1.0,35090,b,c,2,6,1,0
244,9879543,24166,1,1.0,696,a,c,2,6,1,1
245,6978923,24166,1,1.0,631,b,b,2,3,1,0
246,2309003,24166,1,1.0,758,a,c,1,7,0,0
247,2133863,24166,1,1.0,2010,b,c,1,4,0,1
248,6721123,24166,1,1.0,1077,a,c,2,5,1,0
249,1391683,24166,1,1.0,762,a,c,1,7,0,1
250,9448763,24166,1,1.0,676,b,c,1,6,0,0
251,7560263,24166,1,1.0,732,a,c,2,6,1,1
252,7970503,24166,1,1.0,936,b,a,1,3,0,1
253,3275123,24166,1,1.0,927,a,a,1,6,0,0
